#name	RA	Dec	Flux
02:38:02.4_+59:11:49	2:38:02.40	59:11:49.0	27.544
06:09:32.6_+48:04:16	6:09:32.60	48:04:16.0	18.065
07:09:18.3_+74:49:31	7:09:18.30	74:49:31.0	17.393
07:39:22.6_+70:22:56	7:39:22.60	70:22:56.0	15.901
08:01:35.2_+50:09:45	8:01:35.20	50:09:45.0	11.271
08:13:36.2_+48:13:00	8:13:36.20	48:13:00.0	84.716
08:37:44.9_+65:13:35	8:37:44.90	65:13:35.0	13.099
08:39:06.6_+57:54:15	8:39:06.60	57:54:15.0	16.391
08:48:33.2_+78:30:01	8:48:33.20	78:30:01.0	10.413
08:57:40.5_+34:04:08	8:57:40.50	34:04:08.0	9.992
09:08:50.7_+37:48:16	9:08:50.70	37:48:16.0	16.498
09:09:33.4_+42:53:46	9:09:33.40	42:53:46.0	28.89
09:12:02.9_+37:51:33	9:12:02.90	37:51:33.0	13.35
09:22:49.9_+53:02:22	9:22:49.90	53:02:22.0	9.391
09:32:38.8_+79:06:34	9:32:38.80	79:06:34.0	19.599
09:39:23.2_+83:15:26	9:39:23.20	83:15:26.0	22.328
10:11:45.4_+46:28:20	10:11:45.40	46:28:20.0	18.475
10:14:14.7_+74:37:38	10:14:14.70	74:37:38.0	12.141
10:33:34.0_+58:14:35	10:33:34.00	58:14:35.0	26.726
10:58:58.8_+43:01:22	10:58:58.80	43:01:22.0	12.964
11:04:12.1_+76:59:01	11:04:12.10	76:59:01.0	14.853
11:11:32.3_+35:40:43	11:11:32.30	35:40:43.0	12.866
11:14:38.6_+40:37:18	11:14:38.60	40:37:18.0	27.559
11:39:58.1_+65:47:47	11:39:58.10	65:47:47.0	18.054
11:45:29.6_+31:33:42	11:45:29.60	31:33:42.0	22.357
11:45:43.4_+49:46:08	11:45:43.40	49:46:08.0	13.914
12:00:21.6_+73:00:45	12:00:21.60	73:00:45.0	29.43
12:09:13.5_+43:39:19	12:09:13.50	43:39:19.0	12.15
12:15:29.8_+53:35:53	12:15:29.80	53:35:53.0	11.949
12:20:33.9_+33:43:10	12:20:33.90	33:43:10.0	15.171
12:56:57.5_+47:20:20	12:56:57.50	47:20:20.0	29.736
13:00:32.8_+40:09:09	13:00:32.80	40:09:09.0	10.291
13:38:49.6_+38:51:13	13:38:49.60	38:51:13.0	20.477
13:42:13.6_+60:21:42	13:42:13.60	60:21:42.0	11.005
13:45:26.3_+49:46:32	13:45:26.30	49:46:32.0	15.837
14:06:44.0_+34:11:25	14:06:44.00	34:11:25.0	14.219
14:11:20.6_+52:12:05	14:11:20.60	52:12:05.0	90.924
14:21:05.6_+41:44:48	14:21:05.60	41:44:48.0	15.141
14:43:01.3_+52:01:41	14:43:01.30	52:01:41.0	13.534
14:47:09.4_+76:56:20	14:47:09.40	76:56:20.0	11.256
14:49:21.8_+63:16:13	14:49:21.80	63:16:13.0	20.289
14:59:07.2_+71:40:21	14:59:07.20	71:40:21.0	27.317
15:20:47.1_+72:25:02	15:20:47.10	72:25:02.0	11.146
15:24:05.5_+54:28:17	15:24:05.50	54:28:17.0	19.623
15:31:25.3_+35:33:41	15:31:25.30	35:33:41.0	10.948
15:35:01.6_+55:36:49	15:35:01.60	55:36:49.0	13.122
15:41:45.6_+60:15:33	15:41:45.60	60:15:33.0	10.619
15:49:58.5_+62:41:20	15:49:58.50	62:41:20.0	20.056
16:04:12.6_+44:23:23	16:04:12.60	44:23:23.0	9.608
16:09:36.2_+65:56:42	16:09:36.20	65:56:42.0	34.692
16:28:38.5_+39:32:59	16:28:38.50	39:32:59.0	55.268
16:28:53.0_+44:19:06	16:28:53.00	44:19:06.0	17.14
16:42:58.8_+39:48:38	16:42:58.80	39:48:38.0	10.515
16:59:29.4_+47:02:48	16:59:29.40	47:02:48.0	18.121
17:04:42.5_+60:44:45	17:04:42.50	60:44:45.0	15.33
17:10:44.3_+46:01:32	17:10:44.30	46:01:32.0	15.409
17:24:19.4_+50:57:37	17:24:19.40	50:57:37.0	14.664
18:07:48.6_+48:29:23	18:07:48.60	48:29:23.0	9.459
18:19:04.8_+50:31:02	18:19:04.80	50:31:02.0	8.37
