:RA	Dec
2:38:02.40	59:11:49.0
6:09:32.60	48:04:16.0
7:09:18.30	74:49:31.0
7:39:22.60	70:22:56.0
8:01:35.20	50:09:45.0
8:13:36.20	48:13:00.0
8:37:44.90	65:13:35.0
8:39:06.60	57:54:15.0
8:48:33.20	78:30:01.0
8:57:40.50	34:04:08.0
9:08:50.70	37:48:16.0
9:09:33.40	42:53:46.0
9:12:02.90	37:51:33.0
9:22:49.90	53:02:22.0
9:32:38.80	79:06:34.0
9:39:23.20	83:15:26.0
10:11:45.40	46:28:20.0
10:14:14.70	74:37:38.0
10:33:34.00	58:14:35.0
10:58:58.80	43:01:22.0
11:04:12.10	76:59:01.0
11:11:32.30	35:40:43.0
11:14:38.60	40:37:18.0
11:39:58.10	65:47:47.0
11:45:29.60	31:33:42.0
11:45:43.40	49:46:08.0
12:00:21.60	73:00:45.0
12:09:13.50	43:39:19.0
12:15:29.80	53:35:53.0
12:20:33.90	33:43:10.0
12:56:57.50	47:20:20.0
13:00:32.80	40:09:09.0
13:38:49.60	38:51:13.0
13:42:13.60	60:21:42.0
13:45:26.30	49:46:32.0
14:06:44.00	34:11:25.0
14:11:20.60	52:12:05.0
14:21:05.60	41:44:48.0
14:43:01.30	52:01:41.0
14:47:09.40	76:56:20.0
14:49:21.80	63:16:13.0
14:59:07.20	71:40:21.0
15:20:47.10	72:25:02.0
15:24:05.50	54:28:17.0
15:31:25.30	35:33:41.0
15:35:01.60	55:36:49.0
15:41:45.60	60:15:33.0
15:49:58.50	62:41:20.0
16:04:12.60	44:23:23.0
16:09:36.20	65:56:42.0
16:28:38.50	39:32:59.0
16:28:53.00	44:19:06.0
16:42:58.80	39:48:38.0
16:59:29.40	47:02:48.0
17:04:42.50	60:44:45.0
17:10:44.30	46:01:32.0
17:24:19.40	50:57:37.0
18:07:48.60	48:29:23.0
18:19:04.80	50:31:02.0
