Name    Ra  Dec S_nu    nu  index   theta
for 03:22:41.7  -37:12:30   170 0.15    -0.8    0
pic 05:19:49.7  -45:46:45   452 .160    -0.8    0
hyd 09:18:05.7  -12:05:44   1860    .160    -2.30   0
cen 13:25:27.6  -43:01:09   7104    .160    -0.52   3.5e-3
her 16:51:08.15 4:59:33.3   300.0   .159    -1  0.000669
sgr 17:45:40.0  -29:00:28   121     .160    -4.21   0
vel 8:24:24.96  -43:01:56.4 90      .150    -1      0.07
crab    05:34:32.0  +22:00:52   1838    .150    -0.30   0
vir 12:30:49.4  +12:23:28   1446    .150    -0.86   0.
cyg 19:59:28.3  +40:44:02   10900   .150    -0.69   0.
cas 23:23:27.94 +58:48:42.4 9160.0  0.150   -0.73   0.000000
X1  16:13:57.59 -60:48:24.6 497     0.150   -1      0
