#srcname 	 ra 	 dec 	 flux [Jy] 	 sigma [Jy] 	 cat pos error ["] 	 catalog 
J1535+554 	 15:34:58.67 	 55:36:48.2 	 0014.36 	 0000.00 	 0 	 helm,misc 
J2156+380 	 21:55:50.83 	 38:00:33.8 	 0044.14 	 0000.00 	 0 	 helm,misc 
J0505+381 	 5:04:43.23 	 38:06:09.6 	 0064.69 	 0000.00 	 0 	 helm,misc 
J1629+393 	 16:28:36.01 	 39:33:01.5 	 0047.94 	 0000.00 	 0 	 helm,misc 
J0453+313 	 4:53:23.73 	 31:29:22.6 	 0020.14 	 0000.00 	 0 	 helm,misc 
J1940+604 	 19:40:22.65 	 60:41:40.1 	 0043.71 	 0000.00 	 0 	 helm,misc 
J1145+313 	 11:45:28.56 	 31:33:36.3 	 0018.25 	 0000.00 	 0 	 helm,misc 
J1419+063 	 14:19:06.85 	 6:28:38.6 	 0091.62 	 0000.00 	 0 	 helm,misc 
J1835+324 	 18:35:04.80 	 32:42:18.3 	 0030.91 	 0000.00 	 0 	 helm,misc 
J0157+285 	 1:57:10.56 	 28:51:38.7 	 0026.54 	 0000.00 	 0 	 helm,misc 
J0238+591 	 2:38:03.08 	 59:12:01.9 	 0025.76 	 0000.00 	 0 	 helm,misc 
J1830+484 	 18:29:29.36 	 48:44:49.6 	 0106.93 	 0000.00 	 0 	 helm,misc 
J0224+400 	 2:23:43.12 	 40:00:55.5 	 0015.80 	 0000.00 	 0 	 helm,misc 
J0327+552 	 3:27:20.18 	 55:20:32.7 	 0027.36 	 0000.00 	 0 	 helm,misc 
J1610+656 	 16:09:33.02 	 65:56:38.5 	 0030.92 	 0000.00 	 0 	 helm,misc 
J2119+494 	 21:18:50.57 	 49:37:08.5 	 0037.26 	 0000.00 	 0 	 helm,misc 
J0138+331 	 1:37:41.19 	 33:09:39.8 	 0060.53 	 0000.00 	 0 	 helm,misc 
her 	 16:51:06.10 	 4:59:38.2 	 0395.92 	 0000.00 	 0 	 helm,misc 
J2014+233 	 20:14:25.62 	 23:34:58.1 	 0081.09 	 0000.00 	 0 	 helm,misc 
J1034+581 	 10:33:33.59 	 58:14:20.3 	 0021.53 	 0000.00 	 0 	 helm,misc 
J0814+481 	 8:13:36.74 	 48:12:52.2 	 0067.67 	 0000.00 	 0 	 helm,misc 
J2144+281 	 21:44:10.16 	 28:10:23.5 	 0030.71 	 0000.00 	 0 	 helm,misc 
