#srcname 	 ra 	 dec 	 flux [Jy] 	 sigma [Jy] 	 cat pos error ["] 	 catalog 
 J0043+520 	 0:43:08.28 	 52:03:44.7 	 0023.76 	 0004.26 	 0 	 pgb015_arp
 J0056+262 	 0:55:48.70 	 26:24:41.0 	 0015.41 	 0005.18 	 0 	 pgb015_arp
 J0109+132 	 1:08:49.68 	 13:18:33.3 	 0023.45 	 0003.17 	 0 	 pgb015_arp
 J0136+206 	 1:36:23.48 	 20:57:17.3 	 0015.16 	 0005.26 	 0 	 pgb015_arp
 J0138+331 	 1:37:40.88 	 33:09:42.0 	 0045.99 	 0011.06 	 0 	 pgb015_arp
 J0157+285 	 1:57:10.32 	 28:51:39.0 	 0019.71 	 0004.88 	 0 	 pgb015_arp
 J0224+400 	 2:23:43.14 	 40:00:58.3 	 0012.04 	 0005.02 	 0 	 pgb015_arp
 J0238+591 	 2:38:03.66 	 59:12:08.4 	 0010.29 	 0004.66 	 0 	 pgb015_arp
 J0310+171 	 3:09:59.94 	 17:05:48.6 	 0014.69 	 0004.33 	 0 	 pgb015_arp
 J0320+413 	 3:19:48.70 	 41:30:44.9 	 0058.78 	 0011.02 	 0 	 pgb015_arp
 J0327+552 	 3:27:20.86 	 55:20:36.4 	 0014.82 	 0004.71 	 0 	 pgb015_arp
 J0408+430 	 4:08:04.18 	 43:00:18.1 	 0020.69 	 0007.60 	 0 	 pgb015_arp
 J0414+111 	 4:13:40.98 	 11:12:07.8 	 0009.17 	 0004.58 	 0 	 pgb015_arp
 J0418+380 	 4:18:18.26 	 38:01:20.7 	 0050.01 	 0009.49 	 0 	 pgb015_arp
 J0437+294 	 4:37:05.46 	 29:40:08.5 	 0130.16 	 0017.26 	 0 	 pgb015_arp
 J0453+313 	 4:53:24.16 	 31:29:18.9 	 0010.73 	 0005.80 	 0 	 pgb015_arp
 J0505+381 	 5:04:43.76 	 38:06:06.5 	 0048.95 	 0009.16 	 0 	 pgb015_arp
 J0543+495 	 5:42:37.80 	 49:50:59.8 	 0039.74 	 0007.62 	 0 	 pgb015_arp
 J0655+541 	 6:55:16.30 	 54:08:46.5 	 0011.55 	 0003.70 	 0 	 pgb015_arp
 J0814+481 	 8:13:37.18 	 48:12:43.3 	 0047.21 	 0011.85 	 0 	 pgb015_arp
 J0921+454 	 9:21:06.16 	 45:38:00.4 	 0030.82 	 0008.90 	 0 	 pgb015_arp
