#
#Name 	 Ra 	 Dec 	 S_nu_ 	 index 	 mfreq 	 Q
0:42:53.96_52:07:34.8	0:42:53.96	52:07:34.8	7.8	+0.45 	0.15	+0.71
10:01:31.41_28:48:04.0	10:01:31.41	28:48:04.0	23.5	-0.50 	0.15	+0.88
11:14:38.91_40:37:12.7	11:14:38.91	40:37:12.7	17.4	-0.56 	0.15	+0.87
14:11:21.08_52:07:34.8	14:11:21.08	52:07:34.8	53.3	-1.01 	0.15	+0.93
15:04:55.31_26:01:38.9	15:04:55.31	26:01:38.9	59.2	-0.61 	0.15	+0.95
16:28:35.62_39:32:51.3	16:28:35.62	39:32:51.3	46.8	-0.78 	0.15	+0.94
16:51:05.63_5:00:17.4	16:51:05.63	5:00:17.4	410.9	-1.17 	0.15	+0.97
17:20:37.50_-0:58:11.6	17:20:37.50	-0:58:11.6	237.4	-0.68 	0.15	+0.90
18:35:09.37_32:42:30.5	18:35:09.37	32:42:30.5	11.6	+1.02 	0.15	+0.79
18:44:20.21_45:29:16.6	18:44:20.21	45:29:16.6	5.5	+0.56 	0.15	+0.50
18:56:36.10_1:20:34.8	18:56:36.10	1:20:34.8	141.9	-1.81 	0.15	+0.84
1:08:54.37_13:19:28.8	1:08:54.37	13:19:28.8	71.2	-0.76 	0.15	+0.90
1:36:19.69_20:58:54.8	1:36:19.69	20:58:54.8	34.3	-0.69 	0.15	+0.88
1:37:22.97_33:09:10.4	1:37:22.97	33:09:10.4	45.0	-0.28 	0.15	+0.95
1:57:25.31_28:53:10.6	1:57:25.31	28:53:10.6	18.5	-0.36 	0.15	+0.84
20:14:17.81_23:33:42.8	20:14:17.81	23:33:42.8	30.9	-0.27 	0.15	+0.89
20:19:55.31_29:44:30.8	20:19:55.31	29:44:30.8	5.4	-0.06 	0.15	+0.61
21:19:07.35_49:36:18.2	21:19:07.35	49:36:18.2	6.6	+1.15 	0.15	+0.66
21:23:54.38_25:02:07.2	21:23:54.38	25:02:07.2	43.3	+0.33 	0.15	+0.93
21:44:17.81_28:12:24.7	21:44:17.81	28:12:24.7	18.2	-0.01 	0.15	+0.81
21:55:53.91_37:55:17.9	21:55:53.91	37:55:17.9	19.9	-0.17 	0.15	+0.85
22:45:49.22_39:38:39.8	22:45:49.22	39:38:39.8	31.4	+0.01 	0.15	+0.94
3:19:41.25_41:30:38.7	3:19:41.25	41:30:38.7	57.8	-0.94 	0.15	+0.97
4:08:02.40_43:00:31.1	4:08:02.40	43:00:31.1	19.0	-0.10 	0.15	+0.90
4:18:02.81_38:00:58.6	4:18:02.81	38:00:58.6	25.6	+0.40 	0.15	+0.92
4:37:01.87_29:44:30.8	4:37:01.87	29:44:30.8	16.5	-0.20 	0.15	+0.71
5:04:48.28_38:06:39.8	5:04:48.28	38:06:39.8	11.2	-0.38 	0.15	+0.75
5:42:50.23_49:53:49.1	5:42:50.23	49:53:49.1	32.4	+0.87 	0.15	+0.90
8:13:17.32_48:14:20.5	8:13:17.32	48:14:20.5	40.9	-0.14 	0.15	+0.94
9:21:18.65_45:41:07.2	9:21:18.65	45:41:07.2	30.3	-0.68 	0.15	+0.91
cas	23:23:27.94	58:48:42.4	10872.2	-1.40 	0.15	+0.99
crab	5:34:32.00	22:00:52.0	1495.2	-0.39 	0.15	+0.98
cyg	19:59:28.30	40:44:02.0	10900.0	-0.69 	0.15	+1.00
vir	12:30:56.25  	  12:24:22.9	1263.6	-1.30 	0.15	+0.97
