#sources subtracted from pgb015. J=Helmboldt/VLSS, 3 letter name=aipy misc(3cr)
#Name	RA	Dec	Jys
J1535+554 	 15:35:01.10 	 55:36:53.2 	 36.31
J2156+380 	 21:55:52.40 	 38:00:27.2 	 107.15
J0505+381 	 5:04:42.70 	 38:06:12.7 	 218.78
J1629+393 	 16:28:38.20 	 39:33:02.2 	 107.15
J0453+313 	 4:53:23.30 	 31:29:26.3 	 45.71
J1940+604 	 19:40:25.30 	 60:41:33.2 	 52.48
J1145+313 	 11:45:29.30 	 31:33:42.8 	 47.86
J1225+125 	 12:25:04.20 	 12:53:16.9 	 31.62
J1659+470 	 16:59:29.30 	 47:02:49.2 	 26.92
J0157+285 	 1:57:10.80 	 28:51:38.4 	 40.74
J0238+591 	 2:38:02.50 	 59:11:55.4 	 50.12
J0327+552 	 3:27:19.50 	 55:20:29.0 	 48.98
J0224+400 	 2:23:43.10 	 40:00:52.7 	 41.69
J1610+656 	 16:09:36.20 	 65:56:42.7 	 66.07
J2119+494 	 21:18:52.40 	 49:36:59.9 	 89.13
J0138+331 	 1:37:41.50 	 33:09:37.7 	 91.20
her 	 16:51:08.15 	 4:59:33.3 	 300.00
J0320+413 	 3:19:48.10 	 41:30:42.5 	 117.49
J1034+581 	 10:33:33.90 	 58:14:32.9 	 44.67
J0814+481 	 8:13:36.30 	 48:13:01.1 	 144.54
J2144+281 	 21:44:11.80 	 28:10:19.2 	 39.81
J1844+453 	 18:44:02.60 	 45:33:34.8 	 52.48
J0437+294 	 4:37:04.70 	 29:40:15.5 	 794.33
J1449+632 	 14:49:22.30 	 63:16:13.1 	 37.15
J1002+285 	 10:01:48.40 	 28:47:06.1 	 67.61
J1514+261 	 15:13:40.50 	 26:07:30.9 	 42.66
J1115+404 	 11:14:38.70 	 40:37:21.0 	 91.20
J1505+260 	 15:04:59.40 	 26:00:46.8 	 97.72
J0655+541 	 6:55:14.60 	 54:08:59.3 	 39.81
J0359+103 	 3:58:57.40 	 10:27:15.9 	 67.00
J1331+303 	 13:31:08.30 	 30:30:32.6 	 38.02
J1721-006 	 17:20:31.20 	 -0:58:39.1 	 457.09
J0043+520 	 0:43:09.10 	 52:03:27.3 	 87.10
J2351+644 	 23:50:54.90 	 64:40:15.0 	 81.28
J2246+394 	 22:45:53.20 	 39:41:32.1 	 91.90
J1423+194 	 14:23:00.60 	 19:35:26.5 	 40.74
J0056+262 	 0:55:49.90 	 26:24:39.0 	 74.13
J0408+430 	 4:08:03.20 	 43:00:18.7 	 64.57
J0136+206 	 1:36:24.30 	 20:57:20.7 	 64.57
J1331+251 	 13:30:37.70 	 25:09:10.0 	 30.90
J2020+294 	 20:20:06.40 	 29:42:11.9 	 60.26
J1846+095 	 18:45:37.60 	 9:53:44.0 	 43.65
J0030+636 	 0:29:45.50 	 63:58:41.0 	 29.20
J1724+506 	 17:24:19.70 	 50:57:32.3 	 25.12
J1629+442 	 16:28:52.90 	 44:19:05.7 	 39.81
J0418+380 	 4:18:17.40 	 38:01:23.7 	 96.50
J1550+624 	 15:49:58.20 	 62:41:19.6 	 933.25
J0109+132 	 1:08:50.90 	 13:18:40.9 	 95.50
J1143+221 	 11:43:25.10 	 22:06:57.0 	 38.02
hyd 	 9:18:05.70 	 -12:05:44.0 	 1860.00
J2118+605 	 21:18:18.80 	 60:48:12.7 	 66.07
J0543+495 	 5:42:36.20 	 49:51:06.6 	 398.11
J2108+494 	 21:08:22.60 	 49:36:37.8 	 41.69
J1517+070 	 15:16:44.40 	 7:01:19.2 	 2238.72
J0310+171 	 3:09:59.90 	 17:05:58.0 	 54.95
J1419+063 	 14:19:08.30 	 6:28:34.3 	 158.49
J1830+484 	 18:29:31.80 	 48:44:46.2 	 104.71
J1339+385 	 13:38:49.40 	 38:51:12.1 	 54954.09
J2014+233 	 20:14:27.60 	 23:34:54.4 	 218.78
J2124+250 	 21:23:44.70 	 25:04:16.0 	 114.82
J0921+454 	 9:21:06.00 	 45:38:20.4 	 68.00
J1524+543 	 15:24:05.50 	 54:28:17.7 	 34.67
J1229+020 	 12:29:05.90 	 2:02:55.9 	 134.90
J1835+324 	 18:35:07.00 	 32:42:14.9 	 44.67
J1257+472 	 12:56:57.40 	 47:20:21.6 	 53.70
J0414+111 	 4:13:40.50 	 11:12:21.2 	 46.77
J1411+521 	 14:11:20.30 	 52:12:03.9 	 363.08
