Name,Description,Feature Code,ECEFX,ECEFY,ECEFZ,Latitude,Longitude,Northing,Easting,Elevation,Ellipsoid Height,Horizontal Quality,Elevation Quality,Ellipsoid Height Quality,Point style,Layer
"a6m","","A6",5109322.427,2005300.149,-3239961.544,30ø43'18.07711"S,21ø25'44.21670"E,6601162.815,541068.711,1086.299,1086.299,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,17:07:37 30 Nov 2011
"d6m","","D6",5109315.856,2005297.647,-3239973.675,30ø43'18.53231"S,21ø25'44.21937"E,6601148.802,541068.728,1086.452,1086.452,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,17:09:01 30 Nov 2011
"d7m","","D7",5109304.968,2005325.623,-3239973.523,30ø43'18.52665"S,21ø25'45.34750"E,6601148.861,541098.732,1086.448,1086.448,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,17:09:58 30 Nov 2011
"a7m","","A7",5109311.560,2005328.114,-3239961.413,30ø43'18.07177"S,21ø25'45.34416"E,6601162.864,541098.697,1086.319,1086.319,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,17:12:20 30 Nov 2011
"a4w","","a4",5109344.465,2005242.444,-3239962.548,30ø43'18.11456"S,21ø25'41.89548"E,6601161.898,541006.972,1086.324,1086.324,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:21:49 2 Dec 2011
"b4w","","b4",5109342.545,2005241.744,-3239966.025,30ø43'18.24549"S,21ø25'41.89738"E,6601157.867,541007.007,1086.344,1086.344,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:23:20 2 Dec 2011
"c4w","","c4",5109340.664,2005241.046,-3239969.464,30ø43'18.37472"S,21ø25'41.89876"E,6601153.889,541007.029,1086.376,1086.376,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:23:57 2 Dec 2011
"d4w","","d4",5109338.797,2005240.306,-3239972.956,30ø43'18.50551"S,21ø25'41.89851"E,6601149.863,541007.007,1086.434,1086.434,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:25:07 2 Dec 2011
"d4s","","d4",5109337.335,2005241.609,-3239974.462,30ø43'18.56221"S,21ø25'41.96417"E,6601148.110,541008.747,1086.442,1086.442,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:26:10 2 Dec 2011
"d4e","","d4",5109337.504,2005243.584,-3239972.939,30ø43'18.50513"S,21ø25'42.03093"E,6601149.861,541010.529,1086.420,1086.420,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:27:46 2 Dec 2011
"c4e","","c4",5109339.386,2005244.339,-3239969.493,30ø43'18.37529"S,21ø25'42.03152"E,6601153.858,541010.560,1086.403,1086.403,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:29:23 2 Dec 2011
"b4e","","b4",5109341.272,2005245.050,-3239966.020,30ø43'18.24495"S,21ø25'42.03049"E,6601157.870,541010.548,1086.360,1086.360,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:30:30 2 Dec 2011
"a4e","","a4",5109343.166,2005245.713,-3239962.559,30ø43'18.11509"S,21ø25'42.02768"E,6601161.868,541010.488,1086.316,1086.316,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:31:19 2 Dec 2011
"a4n","","a4",5109344.626,2005244.379,-3239961.038,30ø43'18.05818"S,21ø25'41.96096"E,6601163.627,541008.720,1086.288,1086.288,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:32:34 2 Dec 2011
"a5n","","5",5109333.714,2005272.425,-3239960.969,30ø43'18.05479"S,21ø25'43.09188"E,6601163.616,541038.798,1086.330,1086.330,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:33:55 2 Dec 2011
"a5w","","5",5109333.517,2005270.467,-3239962.519,30ø43'18.11296"S,21ø25'43.02608"E,6601161.832,541037.041,1086.349,1086.349,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:34:54 2 Dec 2011
"b5w","","5",5109331.626,2005269.773,-3239965.992,30ø43'18.24328"S,21ø25'43.02776"E,6601157.820,541037.071,1086.392,1086.392,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:44:16 2 Dec 2011
"c5w","","5",5109329.797,2005269.035,-3239969.450,30ø43'18.37252"S,21ø25'43.02706"E,6601153.842,541037.037,1086.463,1086.463,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:46:01 2 Dec 2011
"d5w","","5",5109327.912,2005268.265,-3239972.918,30ø43'18.50307"S,21ø25'43.02602"E,6601149.823,541036.994,1086.485,1086.485,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:46:47 2 Dec 2011
"d5s","","5",5109326.422,2005269.631,-3239974.412,30ø43'18.55951"S,21ø25'43.09427"E,6601148.079,541038.802,1086.485,1086.485,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:47:27 2 Dec 2011
"d5e","","5",5109326.637,2005271.649,-3239972.891,30ø43'18.50151"S,21ø25'43.16187"E,6601149.857,541040.607,1086.514,1086.514,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:48:13 2 Dec 2011
"c5e","","5",5109328.491,2005272.348,-3239969.480,30ø43'18.37346"S,21ø25'43.16089"E,6601153.799,541040.596,1086.474,1086.474,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:48:22 2 Dec 2011
"b5e","","5",5109330.399,2005273.062,-3239966.014,30ø43'18.24292"S,21ø25'43.15968"E,6601157.818,541040.579,1086.454,1086.454,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:50:15 2 Dec 2011
"a5e","","5",5109332.274,2005273.771,-3239962.471,30ø43'18.11080"S,21ø25'43.15873"E,6601161.885,541040.569,1086.368,1086.368,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:50:42 2 Dec 2011
"a6n","","6",5109322.802,2005300.266,-3239960.927,30ø43'18.05339"S,21ø25'44.21562"E,6601163.545,541068.685,1086.321,1086.321,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:51:33 2 Dec 2011
"a6w","","6",5109322.616,2005298.344,-3239962.475,30ø43'18.11112"S,21ø25'44.15096"E,6601161.774,541066.958,1086.359,1086.359,Unknown quality,Unknown quality,Unknown quality,<By Layer>,Default,10:52:07 2 Dec 2011
