f1A1 -> p2r6c6 -> r3B6Y -> sE2Y  -> a89Y 
f1A2 -> p2r5c6 -> r3B6X -> sE2X  -> a89X 
f1A3 -> p2r4c6 -> r3A6Y -> sC6Y  -> a75Y 
f1A4 -> p2r3c6 -> r3A6X -> sC6X  -> a75X 
f1B1 -> p2r4c7 -> r3A7Y -> sE0Y  -> a88Y 
f1B2 -> p2r3c7 -> r3A7X -> sE0X  -> a88X 
f1B3 -> p2r2c7 -> r2B7Y -> sG3Y  -> a45Y 
f1B4 -> p2r1c7 -> r2B7X -> sG3X  -> a45X 
f1C1 -> p2r6c7 -> r3B7Y -> sG0Y  -> a104Y
f1C2 -> p2r5c7 -> r3B7X -> sG0X  -> a104X
f1C3 -> p2r6c8 -> r3B8Y -> sX1Y  -> a113Y
f1C4 -> p2r5c8 -> r3B8X -> sX1X  -> a113X
f1D1 -> p2r4c8 -> r3A8Y -> sX0Y  -> a112Y
f1D2 -> p2r3c8 -> r3A8X -> sX0X  -> a112X
f1D3 -> p2r2c8 -> r2B8Y -> sF1Y  -> a53Y 
f1D4 -> p2r1c8 -> r2B8X -> sF1X  -> a53X 
f1E1 -> p2r2c3 -> r2B3Y -> sB1Y  -> a9Y  
f1E2 -> p2r1c3 -> r2B3X -> sB1X  -> a9X  
f1E3 -> p2r2c4 -> r2B4Y -> sC5Y  -> a35Y 
f1E4 -> p2r1c4 -> r2B4X -> sC5X  -> a35X 
f1F1 -> p2r4c4 -> r3A4Y -> sD2Y  -> a81Y 
f1F2 -> p2r3c4 -> r3A4X -> sD2X  -> a81X 
f1F3 -> p2r4c5 -> r3A5Y -> sC2Y  -> a73Y 
f1F4 -> p2r3c5 -> r3A5X -> sC2X  -> a73X 
f1G1 -> p2r6c5 -> r3B5Y -> sB2Y  -> a66Y 
f1G2 -> p2r5c5 -> r3B5X -> sB2X  -> a66X 
f1G3 -> p2r2c5 -> r2B5Y -> sB5Y  -> a1Y  
f1G4 -> p2r1c5 -> r2B5X -> sB5X  -> a1X  
f1H1 -> p2r6c4 -> r3B4Y -> sD0Y  -> a80Y 
f1H2 -> p2r5c4 -> r3B4X -> sD0X  -> a80X 
f1H3 -> p2r2c6 -> r2B6Y -> sD3Y  -> a63Y 
f1H4 -> p2r1c6 -> r2B6X -> sD3X  -> a63X 
f2A1 -> p2r4c1 -> r3A1Y -> sF2Y  -> a97Y 
f2A2 -> p2r3c1 -> r3A1X -> sF2X  -> a97X 
