,sep,sep2,dT,peak,mult,bl1,bl2
0, 0_1, 0_1, 0.0, 12127.9726, 11664, 14.6, 14.6
1, 0_4, 0_4, 0.0, 12127.9726, 3481, 58.4, 58.4
2, 0_6, 0_6, 0.0, 12127.9726, 1089, 87.6, 87.6
3, 0_7, 0_7, 0.0, 12127.9726, 10609, 14.6, 14.6
4, 5_67, 5_67, 0.0, 12127.9726, 9, 80.4105299904, 80.4105299904
5, 1_7, 1_7, 0.0, 12127.9726, 7396, 25.2879417905, 25.2879417905
6, 0_17, 0_17, 0.0, 12127.9726, 7056, 29.2, 29.2
7, 30_31, 30_31, 0.0, 12127.9726, 25, 16.8586278603, 16.8586278603
8, 0_15, 0_15, 0.0, 12127.9726, 6084, 29.2, 29.2
9, 0_9, 0_9, 0.0, 12127.9726, 7744, 25.2879417905, 25.2879417905
10, 0_10, 0_10, 0.0, 12127.9726, 5184, 38.6279691415, 38.6279691415
11, 2_7, 2_7, 0.0, 12127.9726, 4900, 38.6279691415, 38.6279691415
12, 0_18, 0_18, 0.0, 12127.9726, 4900, 38.6279691415, 38.6279691415
13, 14_43, 14_43, 0.0, 12127.9726, 4225, 38.6279691415, 38.6279691415
14, 14_47, 14_47, 0.0, 12127.9726, 289, 118.010395022, 118.010395022
15, 1_15, 1_15, 0.0, 12127.9726, 4096, 38.6279691415, 38.6279691415
16, 14_42, 14_42, 0.0, 12127.9726, 3721, 38.6279691415, 38.6279691415
17, 0_3, 0_3, 0.0, 12127.9726, 5184, 43.8, 43.8
18, 3_7, 3_7, 0.0, 12127.9726, 3481, 52.6410486218, 52.6410486218
19, 0_11, 0_11, 0.0, 12127.9726, 3364, 52.6410486218, 52.6410486218
20, 0_19, 0_19, 0.0, 12127.9726, 3249, 50.575883581, 50.575883581
21, 15_28, 15_28, 0.0, 12127.9726, 121, 60.7846471844, 60.7846471844
22, 24_57, 24_57, 0.0, 12127.9726, 2916, 43.8, 43.8
23, 22_56, 22_56, 0.0, 12127.9726, 2916, 52.6410486218, 52.6410486218
24, 14_56, 14_56, 0.0, 12127.9726, 2601, 58.4, 58.4
25, 14_54, 14_54, 0.0, 12127.9726, 2601, 50.575883581, 50.575883581
26, 14_55, 14_55, 0.0, 12127.9726, 2809, 52.6410486218, 52.6410486218
27, 4_7, 4_7, 0.0, 12127.9726, 2304, 66.9056051464, 66.9056051464
28, 0_12, 0_12, 0.0, 12127.9726, 2209, 66.9056051464, 66.9056051464
29, 25_57, 25_57, 0.0, 12127.9726, 2209, 52.6410486218, 52.6410486218
30, 0_20, 0_20, 0.0, 12127.9726, 2116, 63.6399245757, 63.6399245757
31, 3_15, 3_15, 0.0, 12127.9726, 2116, 63.6399245757, 63.6399245757
32, 24_71, 24_71, 0.0, 12127.9726, 2116, 52.6410486218, 52.6410486218
