,sep,sep2,dT,peak,mult,bl1,bl2
0, 3_196, 3_196, 0.0, 12127.9726, 1296, 182.54866018, 182.54866018
1, 22_240, 22_240, 0.0, 12127.9726, 441, 197.145056578, 197.145056578
2, 0_145, 0_145, 0.0, 12127.9726, 121, 139.275123407, 139.275123407
3, 98_276, 98_276, 0.0, 12127.9726, 36, 211.238001632, 211.238001632
4, 2_176, 2_176, 0.0, 12127.9726, 2025, 167.95289022, 167.95289022
5, 22_246, 22_246, 0.0, 12127.9726, 144, 164.533643976, 164.533643976
6, 22_247, 22_247, 0.0, 12127.9726, 144, 164.533643976, 164.533643976
7, 22_244, 22_244, 0.0, 12127.9726, 36, 168.375413882, 168.375413882
8, 22_245, 22_245, 0.0, 12127.9726, 100, 165.824123697, 165.824123697
9, 22_242, 22_242, 0.0, 12127.9726, 441, 184.869287155, 184.869287155
10, 22_243, 22_243, 0.0, 12127.9726, 441, 180.198150194, 180.198150194
11, 22_241, 22_241, 0.0, 12127.9726, 441, 190.547246984, 190.547246984
12, 0_212, 0_212, 0.0, 12127.9726, 441, 234.662168517, 234.662168517
13, 22_248, 22_248, 0.0, 12127.9726, 100, 165.824123697, 165.824123697
14, 22_249, 22_249, 0.0, 12127.9726, 36, 168.375413882, 168.375413882
15, 7_155, 7_155, 0.0, 12127.9726, 100, 212.746265145, 212.746265145
16, 156_306, 156_306, 0.0, 12127.9726, 9, 224.447796455, 224.447796455
17, 0_218, 0_218, 0.0, 12127.9726, 4225, 168.586278603, 168.586278603
18, 0_219, 0_219, 0.0, 12127.9726, 4096, 169.2172962, 169.2172962
19, 0_216, 0_216, 0.0, 12127.9726, 3721, 171.096386091, 171.096386091
20, 0_217, 0_217, 0.0, 12127.9726, 4096, 169.2172962, 169.2172962
21, 0_214, 0_214, 0.0, 12127.9726, 64, 258.025140894, 258.025140894
22, 0_144, 0_144, 0.0, 12127.9726, 529, 131.4, 131.4
23, 0_147, 0_147, 0.0, 12127.9726, 3721, 160.156964673, 160.156964673
24, 0_146, 0_146, 0.0, 12127.9726, 3969, 149.842762032, 149.842762032
25, 0_141, 0_141, 0.0, 12127.9726, 1681, 115.883907425, 115.883907425
26, 36_243, 36_243, 0.0, 12127.9726, 441, 194.42318106, 194.42318106
27, 3_61, 3_61, 0.0, 12127.9726, 4096, 105.619000816, 105.619000816
28, 65_115, 65_115, 0.0, 12127.9726, 196, 241.819960577, 241.819960577
29, 5_146, 5_146, 0.0, 12127.9726, 1024, 113.404820591, 113.404820591
30, 66_155, 66_155, 0.0, 12127.9726, 1600, 80.4105299904, 80.4105299904
31, 0_197, 0_197, 0.0, 12127.9726, 4356, 160.156964673, 160.156964673
32, 156_277, 156_277, 0.0, 12127.9726, 100, 201.423566976, 201.423566976
33, 113_155, 113_155, 0.0, 12127.9726, 225, 245.320552203, 245.320552203
34, 22_303, 22_303, 0.0, 12127.9726, 9, 229.147143411, 229.147143411
35, 22_302, 22_302, 0.0, 12127.9726, 9, 232.838341631, 232.838341631
36, 22_301, 22_301, 0.0, 12127.9726, 9, 237.371635486, 237.371635486
37, 22_300, 22_300, 0.0, 12127.9726, 9, 242.699842055, 242.699842055
38, 22_307, 22_307, 0.0, 12127.9726, 4, 215.071429995, 215.071429995
39, 22_306, 22_306, 0.0, 12127.9726, 4, 215.071429995, 215.071429995
40, 22_305, 22_305, 0.0, 12127.9726, 9, 224.447796455, 224.447796455
41, 22_304, 22_304, 0.0, 12127.9726, 9, 226.339243909, 226.339243909
42, 0_142, 0_142, 0.0, 12127.9726, 1369, 119.506150469, 119.506150469
43, 0_143, 0_143, 0.0, 12127.9726, 961, 124.742454682, 124.742454682
44, 0_140, 0_140, 0.0, 12127.9726, 1849, 114.029645268, 114.029645268
45, 0_215, 0_215, 0.0, 12127.9726, 3136, 174.183160304, 174.183160304
46, 0_213, 0_213, 0.0, 12127.9726, 225, 246.187922802, 246.187922802
47, 0_59, 0_59, 0.0, 12127.9726, 2809, 114.029645268, 114.029645268
48, 1_215, 1_215, 0.0, 12127.9726, 2401, 178.414947057, 178.414947057
49, 8_98, 8_98, 0.0, 12127.9726, 81, 189.8, 189.8
50, 8_92, 8_92, 0.0, 12127.9726, 841, 72.0200897898, 72.0200897898
51, 98_115, 98_115, 0.0, 12127.9726, 36, 255.53475954, 255.53475954
52, 1_135, 1_135, 0.0, 12127.9726, 121, 139.275123407, 139.275123407
53, 135_186, 135_186, 0.0, 12127.9726, 841, 156.113078675, 156.113078675
54, 6_187, 6_187, 0.0, 12127.9726, 441, 135.65696935, 135.65696935
55, 3_109, 3_109, 0.0, 12127.9726, 3364, 111.509341911, 111.509341911
56, 2_76, 2_76, 0.0, 12127.9726, 4900, 118.010395022, 118.010395022
57, 116_243, 116_243, 0.0, 12127.9726, 81, 186.018744575, 186.018744575
58, 165_166, 165_166, 0.0, 12127.9726, 100, 16.8586278603, 16.8586278603
59, 0_210, 0_210, 0.0, 12127.9726, 900, 212.746265145, 212.746265145
60, 5_81, 5_81, 0.0, 12127.9726, 576, 139.275123407, 139.275123407
61, 135_291, 135_291, 0.0, 12127.9726, 4, 223.496070062, 223.496070062
62, 63_155, 63_155, 0.0, 12127.9726, 225, 248.343096005, 248.343096005
63, 50_175, 50_175, 0.0, 12127.9726, 36, 265.356087802, 265.356087802
64, 8_207, 8_207, 0.0, 12127.9726, 256, 147.69351148, 147.69351148
65, 81_225, 81_225, 0.0, 12127.9726, 169, 172.955061601, 172.955061601
66, 65_291, 65_291, 0.0, 12127.9726, 36, 229.147143411, 229.147143411
67, 23_175, 23_175, 0.0, 12127.9726, 64, 259.672126601, 259.672126601
68, 163_166, 163_166, 0.0, 12127.9726, 729, 44.6037367642, 44.6037367642
69, 0_269, 0_269, 0.0, 12127.9726, 1444, 207.676126055, 207.676126055
70, 62_155, 62_155, 0.0, 12127.9726, 576, 234.662168517, 234.662168517
71, 9_306, 9_306, 0.0, 12127.9726, 9, 224.447796455, 224.447796455
72, 80_98, 80_98, 0.0, 12127.9726, 36, 242.699842055, 242.699842055
73, 0_211, 0_211, 0.0, 12127.9726, 676, 223.496070062, 223.496070062
74, 10_281, 10_281, 0.0, 12127.9726, 1, 271.70648379, 271.70648379
75, 9_127, 9_127, 0.0, 12127.9726, 1024, 99.3801455691, 99.3801455691
76, 1_98, 1_98, 0.0, 12127.9726, 3249, 110.227582755, 110.227582755
77, 4_266, 4_266, 0.0, 12127.9726, 484, 221.580354123, 221.580354123
78, 7_50, 7_50, 0.0, 12127.9726, 576, 140.79730111, 140.79730111
79, 4_261, 4_261, 0.0, 12127.9726, 225, 199.295793567, 199.295793567
80, 9_233, 9_233, 0.0, 12127.9726, 9, 247.052248185, 247.052248185
81, 11_115, 11_115, 0.0, 12127.9726, 900, 223.496070062, 223.496070062
82, 49_116, 49_116, 0.0, 12127.9726, 9, 243.138588738, 243.138588738
