,sep,sep2,dT,peak,mult,bl1,bl2
0, 3_226, 3_226, 0.0, 12127.9726, 784, 176.009242182, 176.009242182
1, 0_11, 0_11, 0.0, 12127.9726, 77841, 14.6, 14.6
2, 0_10, 0_10, 0.0, 12127.9726, 400, 146.0, 146.0
3, 65_206, 65_206, 0.0, 12127.9726, 324, 160.821059981, 160.821059981
4, 0_13, 0_13, 0.0, 12127.9726, 59049, 25.2879417905, 25.2879417905
5, 1_11, 1_11, 0.0, 12127.9726, 59049, 25.2879417905, 25.2879417905
6, 0_27, 0_27, 0.0, 12127.9726, 30976, 50.575883581, 50.575883581
7, 0_23, 0_23, 0.0, 12127.9726, 57600, 29.2, 29.2
8, 0_25, 0_25, 0.0, 12127.9726, 57600, 29.2, 29.2
9, 0_17, 0_17, 0.0, 12127.9726, 14161, 81.2893596973, 81.2893596973
10, 4_109, 4_109, 0.0, 12127.9726, 2401, 102.547029861, 102.547029861
11, 0_5, 0_5, 0.0, 12127.9726, 21025, 73.0, 73.0
12, 10_146, 10_146, 0.0, 12127.9726, 1369, 118.010395022, 118.010395022
13, 1_23, 1_23, 0.0, 12127.9726, 42849, 38.6279691415, 38.6279691415
14, 0_36, 0_36, 0.0, 12127.9726, 41209, 43.8, 43.8
15, 0_38, 0_38, 0.0, 12127.9726, 42025, 38.6279691415, 38.6279691415
16, 0_37, 0_37, 0.0, 12127.9726, 42025, 38.6279691415, 38.6279691415
17, 0_39, 0_39, 0.0, 12127.9726, 41209, 43.8, 43.8
18, 3_11, 3_11, 0.0, 12127.9726, 31329, 52.6410486218, 52.6410486218
19, 0_15, 0_15, 0.0, 12127.9726, 31329, 52.6410486218, 52.6410486218
20, 0_24, 0_24, 0.0, 12127.9726, 58081, 25.2879417905, 25.2879417905
21, 116_305, 116_305, 0.0, 12127.9726, 9, 236.471929271, 236.471929271
22, 23_305, 23_305, 0.0, 12127.9726, 9, 257.197693095, 257.197693095
