,sep,sep2,dT,peak,mult
3, 12, 12, 0.0, 10.2858996057, 5625
1, 10, 10, 0.0, 10.2858996057, 11025
2, 13, 13, 0.0, 10.2858996057, 3600
0, 11, 11, 0.0, 10.2858996057, 8100
7, 11, 10, -0.0580000095069, 4.27487683387, 18900
4, 14, 14, 0.0, 10.2858996057, 2025
5, 1-1, 1-1, 0.0, 10.2858996057, 8100
6, 1-2, 1-2, 0.0, 10.2858996057, 5625
9, 11, 12, 0.0580000095069, 4.164920614, 13500
8, 11, 13, 0.11000001803, 0.914435582913, 10800
10, 11, 14, 0.151000024751, 0.209853580445, 8100
11, 11, 1-1, -0.104000017047, 1.02747735465, 8100
13, 10, 13, 0.150000024587, 0.267619415225, 12600
14, 10, 12, 0.111000018194, 1.08240988144, 15750
15, 10, 14, 0.182000029832, 0.0766905860177, 9450
12, 11, 1-2, -0.142000023276, 0.273837234474, 13500
16, 10, 1-1, -0.0530000086874, 3.81272226959, 18900
18, 13, 12, -0.0550000090152, 3.53277320834, 9000
17, 10, 1-2, -0.103000016883, 0.907058704219, 15750
19, 13, 14, 0.0500000081956, 2.58531982729, 5400
20, 13, 1-1, -0.17900002934, 0.0875028000273, 10800
22, 12, 14, 0.109000017866, 0.637608188235, 6750
21, 13, 1-2, -0.17900002934, 0.0398761019104, 9000
23, 12, 1-1, -0.142000023276, 0.294736231685, 13500
24, 12, 1-2, -0.17900002934, 0.0903695425259, 5625
26, 14, 1-2, -0.200000032783, 0.0207982576022, 6750
25, 14, 1-1, -0.17900002934, 0.0355594308066, 8100
27, 1-1, 1-2, -0.0550000090152, 3.69142158446, 13500
28, 20, 20, 0.0, 10.2858996057, 9604
29, 21, 21, 0.0, 10.2858996057, 7056
30, 22, 22, 0.0, 10.2858996057, 4900
31, 23, 23, 0.0, 10.2858996057, 3136
32, 20, 21, 0.0330000054091, 5.68181982077, 16464
33, 20, 22, 0.0650000106543, 2.48129713686, 13720
34, 20, 23, 0.09200001508, 1.04076161855, 10976
35, 21, 22, 0.0330000054091, 5.46305073424, 11760
36, 21, 23, 0.0640000104904, 2.24875616604, 9408
37, 22, 23, 0.0320000052452, 5.10700766232, 7840
38, 32, 32, 0.0, 10.2858996057, 4225
39, 31, 31, 0.0, 10.2858996057, 6084
40, 30, 30, 0.0, 10.2858996057, 8281
41, 32, 31, -0.02300000377, 6.157076325, 10140
42, 32, 30, -0.04600000754, 3.31097703636, 11830
43, 31, 30, -0.02300000377, 6.13188968171, 14196
44, 40, 40, 0.0, 10.2858996057, 7056
45, 41, 41, 0.0, 10.2858996057, 5184
46, 40, 41, 0.0170000027865, 6.3311240574, 12096
